firm_matched,supplier_raw,txns,gbp,reason
Matrix SCM,MATRIX CHAMBERS LIMITED,6,8982.0,"Matrix-named firm, not Matrix SCM"
Reed,REED CHILL CHEATER,10,8922.13,canoe/outdoor gear maker
Bain,MR GILES BAIN,7,8820.0,individual
Reed,Reed Elsevier (UK) Ltd T/A LN,10,7967.92,RELX / LexisNexis
Reed,Reed Business Information,9,7661.65,RELX publishing
Reed,LEWIS REED (WAV) LTD,3,7250.0,wheelchair vehicles
PA Consulting,FPA CONSULTING,4,7225.0,"FPA Consulting, unrelated"
Reed,REED SMITH LLP,3,6574.39,"Reed Smith, US law firm, unrelated"
Matrix SCM,MATRIX SPORTS LLP,5,6550.0,"Matrix-named firm, not Matrix SCM"
Reed,YOCO HARLEY REED SA,1,6446.35,unrelated
Manpower,Quantum Manpower Services Limited,3,6417.0,unrelated
Reed,REED BUSINESS INFORM,6,6310.0,RELX publishing
Reed,GMF FREEDIO LTD,6,6212.84,unrelated
Matrix SCM,MATRIX TRAINING ASSOCIATES LTD,5,5820.0,"Matrix-named firm, not Matrix SCM"
Reed,W Reed (Builders) Limited,2,5671.13,builder
Reed,625600FREEDMAN&TURNER,2,5398.19,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,MEETING MATRIX GLOBAL SALES,2,5293.75,"Matrix-named firm, not Matrix SCM"
Reed,fREEDMAN&TURNER,1,4667.22,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,FREEDMAN & TURNER,1,4545.53,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,Reed Business Information Ltd,4,4533.0,RELX publishing
Reed,FREEDOM OF SPEECH LTD,5,4526.4,"'REED' inside Freedom/Freedman/etc, unrelated"
Bain,SDAD BILBAINA DE RECRE,1,4510.75,"Bilbao club, purchase card"
Bain,NORBAIN DUNASFERN,5,4440.0,CCTV distributor
Matrix SCM,"""MATRIX"" MAGAZIN",5,4379.09,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix BES ltd,5,4377.9,"Matrix-named firm, not Matrix SCM"
Hays,HAYS TRAVEL,9,4099.59,"Hays Travel, different company"
Reed,PERCY & REED PRODUCT LTD,2,4000.0,haircare brand
PA Consulting,PPA CONSULTING LTD,1,3776.34,"PPA Consulting, unrelated"
Reed,REED-CHILL CHEATER LTD,4,3648.6,canoe/outdoor gear maker
Reed,FREEDOM AIR CONDITIONI,3,3437.72,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,Matrix Traffic and Transport Data Limited,2,3400.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix Control Solutions Ltd,4,3169.32,"Matrix-named firm, not Matrix SCM"
Reed,BREEDON NORTHERN LTD,1,3125.0,aggregates
Matrix SCM,MATRIX RSS LTD,1,3000.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX ENTERPRISES LTD,2,3000.0,"Matrix-named firm, not Matrix SCM"
Reed,REEDMIDEM.COM,3,2957.95,RELX (Reed MIDEM)
Reed,KIERAN SCRAGG & NEIL REED T/A IKO,1,2633.22,individuals t/a
Bain,BAINES WILSON,2,2261.71,solicitors
BCG,BCG DIRECT LIMITED,56,2167.86,"direct mail company, not Boston Consulting"
Reed,*REED BUSINESS INFORMATION LTD,1,2100.0,RELX publishing
Reed,FREEDOM OF SPEECH,3,2076.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,Freedom Of Speech,1,1944.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,SUBSCRIPTION/REED,1,1939.68,RELX subscription
Reed,FREEDOM FURNITURE 82,1,1834.45,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REEDY SUPPLIES LTD,1,1790.06,unrelated
Bain,S C BAINBRIDGE FUNERAL DIRECTORS,1,1745.0,funeral directors
Bain,SOCIEDAD BILBAINA RECR,1,1733.3,"Bilbao club, purchase card"
Reed,FREEDOM PROPERTIES,2,1716.94,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,Emma Reed,4,1650.0,individual
Bain,SQ  SEMIS URBAINS / UR,2,1543.32,"French urban seeds, purchase card"
Reed,CAMPAIGN FOR FREEDOM OF INFORMATION,4,1540.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Bain,WILLIAM BAIN CO,1,1501.6,unrelated company
Reed,REED CHILL CHEATER       BRAUNTON,3,1500.0,canoe/outdoor gear maker
Matrix SCM,MATRIX PARTNERSHIP LTD,2,1500.0,"Matrix-named firm, not Matrix SCM"
Reed,REED BUSINESS SCHOOL,1,1473.6,"Reed family business school, training course purchase"
Matrix SCM,COMPUTAMATRIX LTD,5,1385.29,"Matrix-named firm, not Matrix SCM"
Reed,ALAN REED ART LTD,1,1344.1,artist
Reed,DR JUDITH FREEDMAN,1,1325.66,"'REED' inside Freedom/Freedman/etc, unrelated"
Bain,PESAPAL-ALBAININSTIT,1,1259.48,"purchase card, unrelated"
Reed,Creed Food Services  Ltd,4,1231.67,food services
Reed,REED EXHIBITIONS LT,2,1137.6,RELX exhibitions
Reed,REED HALL,1,1134.0,venue
Reed,Peter Creed,2,1100.0,individual
EY,BERNSTOCK SPEIRS,1,1000.0,hat maker; Bernstock false match
Bain,BAINBRIDGE VILLAGE HALL,1,1000.0,village hall
Bain,BAINBRIDGE CHRISTMAS LIGHTS,1,1000.0,village event
Reed,BLONDE D'AQUITAINE BREEDERS SOCIETY OF GB LTD T/A BRITISH BLONDE SOCIETY,1,1000.0,cattle breeders
Matrix SCM,MATRIX MANAGEMENT SYSTEMS LTD,1,1000.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,BIOMATRIX PHARMA LTD,1,1000.0,"Matrix-named firm, not Matrix SCM"
Reed,WHISPERING REEDS BOATS,1,978.62,boats
BCG,MERPAGO ABCGARDEN,1,900.75,"purchase card, unrelated"
Reed,SUBSCRIPTION/REED        BUS.INFO,1,900.0,RELX subscription
Matrix SCM,MATRIX WAREHOUSE,1,881.96,"Matrix-named firm, not Matrix SCM"
Reed,FREEDOM LOGISTICS,1,876.89,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED MIDEM,1,803.55,RELX (Reed MIDEM)
Reed,REED BUSINESS INFORMATION LIMITED,1,775.0,RELX publishing
EY,SAL BEL EY L LASH P VI,1,748.62,garbled purchase-card string; not EY
Reed,Reed Building Services,1,725.0,building services
Matrix SCM,SUNNYVILE MATRIX VENTU,1,698.58,"Matrix-named firm, not Matrix SCM"
Reed,FREEDOM GROUP OF COMPANIES,1,695.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,Freedom Scientific Ltd,1,690.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,ALFAHMAWI FOR REED.,1,644.83,unrelated
Matrix SCM,MATRIX HOLDINGS LIMITE,1,636.13,"Matrix-named firm, not Matrix SCM"
Hays,HAYSDEN TRAINING,1,625.0,unrelated trainer
Matrix SCM,PHARMAMATRIX LTD,1,625.0,"Matrix-named firm, not Matrix SCM"
Reed,ACRA SCREED LTD,1,600.0,flooring screed
Manpower,MANPOWER DEVELOPMENT INSTITUTE,1,597.86,unrelated institute
Matrix SCM,MATRIXUA3,1,591.76,"Matrix-named firm, not Matrix SCM"
Reed,REED MIDEM LTD,1,590.0,RELX (Reed MIDEM)
Manpower,MANPOWER & MAINTENANCE,1,585.4,unrelated
Reed,REED EXHIBITIONS,1,552.65,RELX exhibitions
Reed,REED BUS INFORMATION,1,538.92,RELX publishing
Matrix SCM,MATRIX PRETORIA,1,518.68,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX TELEMATICS LTD,1,516.0,"Matrix-named firm, not Matrix SCM"
Reed,FREEDOM CONFECTIONERY LTD,1,500.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,FREEDOM PROGRAMME,1,450.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,DUNCAN REEDS LTD,2,450.0,unrelated
Reed,MARK REED,2,447.5,individual
Bain,SYMES BAINS BROOMER SOLICITORS,1,399.0,solicitors
Reed,FREED FOODS - MISTER FREED,1,347.35,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED BUSINESS INFORMAT,2,284.0,RELX publishing
Reed,Reed Business,1,200.0,RELX publishing
Reed,FREEDOM FASHION LTD,1,200.0,"'REED' inside Freedom/Freedman/etc, unrelated"
BCG,BCG OXFORD,1,119.13,"purchase card, ambiguous (possibly BCG vaccine clinic)"
Bain,C O H BAINES LTD,4,111.24,unrelated company
Matrix SCM,MATRIX SOLUTIONS INTERNATIONAL Ltd (ANZ TRAINING),12,-20077.86,"Matrix-named firm, not Matrix SCM"
